title,cpc_i,asignee,filing_date,patent_no,relevancy,category
DISTANCE MESUREMENT METHOD BY AN UNMANNED AERIAL VEHICLE (UAV) AND UAV,G01B11/026;H04N23/00;H04N23/51;B64C39/024;G01C5/00;G01C3/085,"Autel Robotics Co., Ltd.",2018-04-11,20200191556,63.666897,Aviation
DEVICE AND METHOD OF ANTI-UNMANNED AERIAL VEHICLE BASED ON MULTI-CAMERA TRACKING AND POSITIONING,G05D3/12;G06V20/13;F41H11/02;G06V20/17;H04N7/181;H04N23/90;F41H13/0043;G06V20/52;F41G3/14,Unknown,2018-04-11,20210302131,60.689697,Aviation
"Unmanned Aerial Vehicle, Flight Control Mechanism for Unmanned Aerial Vehicle, and Method for Using Unmanned Aerial Vehicle and Mechanism for Unmanned Aerial Vehicle",H04N7/181;B64C25/34;E03F7/12;H04N23/90;E03F7/00;F16L55/38;B64C27/08;B64C39/024;B64U50/14;B64C27/20;B64C25/08;H04N7/185,Unknown,2018-04-10,20210147078,67.60329,Aviation
SYSTEMS AND METHODS FOR DELIVERING MERCHANDISE USING AUTONOMOUS GROUND VEHICLES AND UNMANNED AERIAL VEHICLES,G05D1/0088;G05D1/228;G05D1/0027;B64C39/024;G05D1/229;G06Q10/08;B64U10/13;G05D1/0212;G05D1/69,Unknown,2018-04-05,20180300834,60.881912,Aviation
Localization Device and Localization Method for Unmanned Aerial Vehicle,G08G5/0052;G08G5/0078;G06V10/143;G01S7/4808;G01S7/497;B64U10/16;G06V10/141;G05D1/0094;G01S7/4814;G05D1/101;B64C39/024;G08G5/0069;G01S17/89;G08G5/0086;G01B11/00;B64D47/00;G06V20/13;G08G5/0021;B64D47/04;B64U30/20;G06V20/17,Unknown,2018-04-03,20210147077,66.86769,Aviation
OBSTACLE AVOIDANCE SYSTEM BASED ON EMBEDDED STEREO VISION FOR UNMANNED AERIAL VEHICLES,G06V20/58;B64C39/024;G06T7/593;G06V20/13;G06T7/596;G06V10/757;G06V20/17,AltumView Systems Inc.,2018-04-03,20190304120,64.6412,Aviation
Unmanned aerial vehicle,Unknown,"Guangzhou Xaircraft Technology Co., Ltd.",2018-03-30,D875602,70.83522,Aviation
NETWORK COVERAGE AND POLICY INFORMATION GENERATION AND DISTRIBUTION FOR UNMANNED AERIAL VEHICLE FLIGHT PLANNING,H04B7/18506;H04W48/08;H04W28/021;H04W28/0205;G08G5/0039;G08G5/0013,Telefonaktiebolaget LM Ericsson (publ),2018-03-30,20210118312,60.881912,Aviation
Unmanned aerial vehicle beam redirection system and method,G02B26/0875;B64C39/024;B64U50/31;H04B10/112;G02B27/148;G02B26/0816;G11B7/1362;G02B23/04;G11B7/1395,The Boeing Company,2018-03-29,10371935,65.68721,Aviation
A Ground Station for an Unmanned Aerial Vehicle (UAV),G05G13/00;B64U20/87;G05D1/0016;G05G1/10;G05G1/04;G08C17/02;G05G1/01,Unknown,2018-03-28,20210325866,68.21084,Aviation
"UNMANNED AERIAL VEHICLE, AND METHOD FOR USING SAME",B64C39/024;B64D47/08;G05D1/0094;B64C27/20;G05D1/101,Unknown,2018-03-28,20200055598,68.185905,Aviation
ROTOR ASSEMBLY AND UNMANNED AERIAL VEHICLE HAVING THE SAME,B64D35/02;B64C39/024;B64C11/00;B64D35/00;B64U30/29;B64C27/08;B64C27/32;B64C11/10;B64C27/006,Unknown,2018-03-23,20180208301,66.94762,Aviation
UNMANNED AERIAL VEHICLE WITH ENHANCED CARGO STORAGE,B64C37/00;B64C1/22;B60P1/649;B60P7/00;B64U10/25;B64C29/0025;B64D9/003;B64C39/024;B64C27/50,Unknown,2018-03-23,20190291626,66.874954,Aviation
UNMANNED AERIAL VEHICLE AND METHOD FOR CONTROLLING SAME,G05D1/0094;B64U50/19;G05D1/0033;B64D47/08;G05D1/0016;B64C13/16;B64C39/024;G05D1/0808,Unknown,2018-03-22,20200108914,67.4282,Aviation
TRANSFORMABLE UNMANNED AERIAL VEHICLE,B64U50/31;B64C3/56;B64C13/18;B64C39/024;B64C29/02;B64C3/32;B64D27/24,Regents of the University of Minnesota,2018-03-21,20180273170,71.04299,Aviation
Unmanned Aerial Vehicle with a Container having a Stabilizing System,B65D81/052;B64U40/20;B65D25/101;B64C39/024;B65D81/3818,Unknown,2018-03-20,20190291865,66.893814,Aviation
UNMANNED AERIAL VEHICLE CAPTURE APPARATUS,F41B3/02;F42B6/00;F41H11/02,Unknown,2018-03-19,20180266793,69.597084,Aviation
NETWORK RESOURCE ALLOCATION FOR UNMANNED AERIAL VEHICLES,H04W4/40;H04B7/18504;H04B7/18506;G08G5/0013;H04W72/21;H04W4/024;G08G5/0026;G08G5/0069;H04W72/543;H04W28/26;H04W4/029,Unknown,2018-03-19,20190289613,68.69101,Aviation
UNMANNED AERIAL VEHICLE AND AIRBAG DEVICE THEREOF,B64D25/00;B64C39/024;B64U10/14;G01C15/002;B64D47/00,"PRODRONE CO., LTD.",2018-03-19,20200115061,68.185905,Aviation
"UNMANNED AERIAL VEHICLE, CONTROL SYSTEM FOR UNMANNED AERIAL VEHICLE AND CONTROL METHOD THEREOF",G06F18/23213;G05D1/101;G05D1/0202;H04N23/69;H04N23/60;G06V10/25;G06V20/17;G06V10/462;G06V20/13;B64C39/024,INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE,2018-03-14,20190161186,65.760635,Aviation
SYSTEM AND METHOD FOR AUTOMATED HANDOFF BETWEEN UNMANNED AERIAL VEHICLES AND AUTONOMOUS GROUND VEHICLES,B64D1/02;G05D1/0297;H04W12/06;H04L9/30;G06Q10/083;G05D1/102;G08G5/0069;B64C39/024;B64D1/08;G08G7/00;G05D1/0094;G08G5/0013;G06Q50/40,"Walmart Apollo, LLC",2018-03-12,20180261112,61.965187,Aviation
COOLING A POWER SYSTEM FOR AN UNMANNED AERIAL VEHICLE,B64C39/024;B64C27/08;B64U20/90;B64D33/10,Unknown,2018-03-09,20180257776,68.21084,Aviation
METHOD FOR CONTROLLING UNMANNED AERIAL VEHICLE AND UNMANNED AERIAL VEHICLE SUPPORTING THE SAME,B64C39/024;G06V40/107;G05D1/0858;G05D1/0016;G05D1/0669;G08G5/0069,Unknown,2018-03-09,20180259953,66.89007,Aviation
METHOD AND SYSTEM FOR CAPTURING IMAGES OF ASSET USING UNMANNED AERIAL VEHICLES,B64C39/024,Unknown,2018-03-09,20190276146,64.750725,Aviation
UNMANNED AERIAL VEHICLE HAVING DUCT STRUCTURE,B64C27/20;B64U30/26;B64C27/006;B64C39/024,Unknown,2018-03-08,20180257775,69.42545,Aviation
POSITION-BASED CONTROL OF UNMANNED AERIAL VEHICLES,G05D1/0094;B64U20/87;B64C39/024;G05D1/101;B64U10/14;G05D1/102,Unknown,2018-03-08,20190094887,68.1342,Aviation
ROUTING UNMANNED AERIAL VEHICLES BASED ON RADIO FREQUENCY CONDITIONS IN A THREE-DIMENSIONAL ENVIRONMENT,H04B17/3913;H04L67/12;G08G5/0026;H04B17/373;G08G5/0069;H04W24/10;H04B17/318;G08G5/0013;B64C39/024;G08G5/0034;H04B17/336,Unknown,2018-03-07,20190277635,62.62647,Aviation
STABILITY SYSTEMS FOR TETHERED UNMANNED AERIAL VEHICLES,B64U10/60;G05D1/0866;B64C39/024;B64C39/022,Unknown,2018-03-05,20190270518,68.69101,Aviation
"GIMBAL, IMAGING DEVICE AND UNMANNED AERIAL VEHICLE",B64D47/08;F16M11/2071;F16M13/022;G03B17/561;B64C39/024;F16M11/041;F16M11/18;F16M11/10;F16M11/123;G03B15/006,Unknown,2018-03-05,20180194488,66.86769,Aviation
HIGH ENDURANCE UNMANNED AERIAL VEHICLE,B64B1/58;B64B1/44;B64C39/024,Unknown,2018-02-28,20210129983,69.39477,Aviation
MOTOR CONTROL OPTIMIZATIONS FOR UNMANNED AERIAL VEHICLES,B64C39/024;B64U20/94;B64D31/00;B64D31/06;G07C5/0841;B64D45/00,Unknown,2018-02-27,20190210737,68.1342,Aviation
SYSTEMS AND METHODS FOR DISABLING AN UNMANNED AERIAL VEHICLE,H04K3/92;B64C39/024;H04K3/90;H01M50/576;H01M10/052;H01M10/425;B60L58/12,Unknown,2018-02-27,20200235844,68.07317,Aviation
AUTHORIZING A FLIGHT OF AN UNMANNED AERIAL VEHICLE (UAV),G06F21/00;B64C39/024;H04W4/00;G08G5/0013;G06F21/33;G08G5/003;G06Q10/00;G08G5/0026;G06F21/44;G08G5/0069,Unknown,2018-02-26,20190266899,67.4282,Aviation
System and method using image analysis for controlling a flight path of a surface inspection unmanned aerial vehicle,B64C39/024;H04N23/661;G05D1/101;H04N23/11;B64C13/18;H04N23/695;H04N23/60;G06V20/17;G06V20/13;H04N23/00;G06T7/70;G06V20/10;G03B15/00;G03B37/00;H04N5/222;G05D1/0094;H04N23/65;B64D47/08,OPTIM CORPORATION,2018-02-26,11774969,60.356144,Aviation
FLIGHT CONTROL DEVICE AND FLIGHT CONTROL METHOD FOR UNMANNED AERIAL VEHICLE,G08G5/0039;G05D1/0607;G08G5/0021;B64C39/024;G08G5/0069,"ALPINE ELECTRONICS, INC.",2018-02-21,20180253110,64.750725,Aviation
UNMANNED AERIAL VEHICLES,G06V20/13;G05D1/102;B64D45/08;G08G5/0021;B64U70/80;B64C39/024;B64D47/08;G05D1/0094;G08G5/04;G08G5/045;B64D47/02;G05D1/0055;G05D1/0088;G08G5/0065;G05D1/0661;G06V20/17;G08G5/0069,Unknown,2018-02-20,20180244387,72.65258,Aviation
"CYBER-ATTACK DETECTION, LOCALIZATION, AND NEUTRALIZATION FOR UNMANNED AERIAL VEHICLES",H04L63/1416;G06F21/50;H04L63/1466;G06N20/00,Unknown,2018-02-20,20190260768,65.15032,Aviation
SYSTEM HAVING A PLURALITY OF UNMANNED AERIAL VEHICLES AND A METHOD OF CONTROLLING A PLURALITY OF UNMANNED AERIAL VEHICLES,G08G5/0043;G05D1/0202;G08G5/04;B64C39/024;G05D1/0027,Unknown,2018-02-17,20180253093,63.790554,Aviation
ELECTRONIC DEVICE FOR CONTROLLING UNMANNED AERIAL VEHICLE AND METHOD OF OPERATING THE SAME,G08G5/0082;G08C17/02;G08G5/006;H04W4/20;G08G5/0069;G08G5/0013;G08G5/0026,Unknown,2018-02-14,20180240330,62.87605,Aviation
Unmanned aerial vehicle,Unknown,"SKYDIO, INC.",2018-02-13,D906170,71.3413,Aviation
"UNMANNED AERIAL VEHICLE CONTROL SYSTEM, UNMANNED AERIAL VEHICLE CONTROL METHOD, AND PROGRAM",G05D1/0061;B64C13/20;G05D1/101;H04Q9/00;B64C13/18;G05D1/0022;B64C39/024;G05D1/0033;G05D1/0016,Unknown,2018-02-13,20200310414,66.415695,Aviation
"APPARATUS, SYSTEM AND METHOD FOR MANAGING AIRSPACE FOR UNMANNED AERIAL VEHICLES",G08G5/0069;G08G5/0034;G08G5/003;B64U10/00;G08G5/0026;G08G5/0013;G08G5/006;G08G5/0043;H04W4/02,Unknown,2018-02-13,20190251850,64.625854,Aviation
Unmanned aerial vehicle,Unknown,"Shenzhen HighGreat Innovation Technology Development Co., Ltd.",2018-02-09,D843267,70.80184,Aviation
PATH PLANNING METHOD AND APPARATUS FOR UNMANNED AERIAL VEHICLE AND FLIGHT MANAGEMENT METHOD AND APPARATUS,G08G5/0026;G08G5/045;G08G5/006;G08G5/0034;G05D1/042;G08G5/04;G08G5/0069;G05D1/106;B64C39/024;G01C21/20;G05D1/104;G08G5/0039;G08G5/0013;G08G5/00;G05D1/0005,Unknown,2018-02-01,20190196507,59.741997,Aviation
"REMOTE CONTROL FOR IMPLEMENTING IMAGE PROCESSING, UNMANNED AIRCRAFT SYSTEM AND IMAGE PROCESSING METHOD FOR UNMANNED AERIAL VEHICLE",B64C39/024;G06F3/0412;G05D1/0016;H04N7/185;G05D1/101;G05D1/0038,Unknown,2018-02-01,20180339774,51.117367,Aviation
METHOD AND APPARATUS FOR CONTROLLING FLIGHT OF UNMANNED AERIAL VEHICLE AND UNMANNED AERIAL VEHICLE,G06T7/13;G06V20/182;G06V20/17;G06V20/647;G05D1/101;G06T7/62;G05D1/0088;G06V20/176,Unknown,2018-01-31,20180181129,67.4306,Aviation
Unmanned aerial vehicle (UAV) launch systems and methods,G05D1/102;B64C39/024;B64B1/40;B64U70/50,THE BOEING COMPANY,2018-01-31,10661878,66.156136,Aviation
OBSTACLE AVOIDANCE METHOD AND APPARATUS AND UNMANNED AERIAL VEHICLE,G06V20/10;G05D1/102;H04N13/296;G05D1/101;G06V20/13;G06V20/17;H04N13/239;H04N23/69;H04N23/80;B64U10/14;G06T7/74;B64C39/024,Unknown,2018-01-31,20190187725,65.74718,Aviation
"UNMANNED AERIAL VEHICLE (UAV) CAPABILITY INFORMATION TRANSMISSION METHOD, APPARATUS AND SYSTEM",H04W8/245;H04B7/18506;H04W8/04;H04W36/08;H04W36/32;H04W72/51;H04W36/0044;H04W40/36,Unknown,2018-01-31,20210083761,62.948772,Aviation
"PERSISTENT SURVEILLANCE UNMANNED AERIAL VEHICLE AND LAUNCH/RECOVERY PLATFORM SYSTEM AND METHOD OF USING WITH SECURE COMMUNICATION, SENSOR SYSTEMS, TARGETING SYSTEMS, LOCATING SYSTEMS, AND PRECISION LANDING AND STABILIZATION SYSTEMS",G02B27/644;H04N7/185;B64F1/029;B64D17/80;G05D1/0038;G05D1/106;H04N23/685;B64F1/364;B64F3/00;B64C39/024;G02B27/0172;H04N7/181;G02B27/017;G05D1/0094;B64F3/02;G05D1/0866,"The United States of America, as represented by the Secretary of the Navy",2018-01-31,20190086920,50.843895,Aviation
UNMANNED AERIAL VEHICLE,B64C39/024;B60L3/0092;B60L50/60;B64U10/14;B64U30/29;B64D27/24;B64D47/08,Unknown,2018-01-30,20210129984,72.53426,Aviation
"STARTING METHOD AND APPARATUS FOR PERMANENT MAGNET SYNCHRONOUS MOTOR, POWER SYSTEM, AND UNMANNED AERIAL VEHICLE",H02P6/17;H02P6/157;H02P21/34;H02P21/04;H02P21/141;H02P21/0021;H02P6/06;H02P6/20;G05D1/0011;H02P6/22;B64C39/024,Unknown,2018-01-30,20180183367,60.422367,Aviation
UNMANNED AERIAL VEHICLE DETECTION SYSTEM AND DETECTION METHOD,G06T7/70;G01S5/04;H04B17/23;G01S5/0244;G01S5/0221;H04B17/27,Unknown,2018-01-26,20190235047,67.9621,Aviation
Unmanned aerial vehicle,Unknown,"SKYETON USA, INC.",2018-01-25,D876988,71.91155,Aviation
Voice Activated Unmanned Aerial Vehicle (UAV) Assistance System,B64D47/08;G05D1/0011;G05D1/106;B64U10/13;G05D1/0088;B64C39/024,Unknown,2018-01-25,20180237137,67.01491,Aviation
Unmanned Aerial Vehicle Damage Mitigation System,B64D25/18;G01S5/0027;G01S19/17;B64U10/14;G05D1/0088;G01S19/13;B64D17/80;G05D1/105;B64C39/024;G05D1/0688,Unknown,2018-01-24,20190138005,69.30826,Aviation
SOLAR PANEL INSPECTION BY UNMANNED AERIAL VEHICLE,G06Q50/06;G06Q10/0833;B64C39/024;F24S40/90;G01M5/0033;H02S50/15;G01M5/0091;G06T7/0002;G06Q10/20;G05D1/0094;G01M5/005;B64U10/13;G06Q50/40,Unknown,2018-01-24,20210126582,68.33512,Aviation
SYSTEMS AND METHODS FOR DELIVERING MERCHANDISE USING UNMANNED AERIAL VEHICLES,G05D1/0094;G08G5/025;G06Q10/08;G05D1/0088;G05D1/0027;G05D1/0038;G08G5/0069;G05D1/0022;G05D1/0676;G08G5/00;B64D45/04;G08G5/0043;B64C39/024,Unknown,2018-01-23,20180239350,65.928474,Aviation
METHOD AND APPARATUS FOR NETWORKING UNMANNED AERIAL VEHICLE AND SYSTEM FOR CONTROLLING UNMANNED AERIAL VEHICLE,H04W12/50;H04W76/11;H04W12/08;H04W76/10;H04W12/06,Unknown,2018-01-23,20180152982,64.297295,Aviation
UNMANNED AERIAL VEHICLE WITH PROPELLER GUARD,B64C39/024;B64C27/006;B64U10/14;B64U10/40,Unknown,2018-01-22,20190225327,67.96032,Aviation
"AUTOMATED BATTERY SERVICING, INCLUDING CHARGING AND REPLACEMENT, FOR UNMANNED AERIAL VEHICLES, AND ASSOCIATED SYSTEMS AND METHODS",B64C39/024;B60L53/14;B64U50/37;B60L53/35;B64U30/26;B60L53/80;G05D1/042;B64U50/34,Unknown,2018-01-19,20180208070,60.90548,Aviation
UNMANNED AERIAL VEHICLE FOR PAINTING STRUCTURES,B05B15/534;B05B12/124;B05B15/50;B64C39/02;B05B12/16;B05B13/041;B64C39/024;B05B9/047;B05B13/005;B64D1/18,Unknown,2018-01-17,20190366375,69.597084,Aviation
CONTROL SYSTEMS FOR UNMANNED AERIAL VEHICLES,B64U10/14;B64C39/024;B64C27/50,Unknown,2018-01-16,20190217953,69.72804,Aviation
Optical Energy Transfer and Conversion System for Unmanned Aerial Vehicle having Drum Configured Fiber Spooler Mounted Thereon,G02B6/4296;G02B6/4458;E21B41/0085;B64D33/00;H10N10/13;G02B6/3604;G02B6/4268;H02J50/30;G02B6/4436;H02J50/90;G02B6/4415;E21B47/135,"Stone Aerospace, Inc.",2018-01-15,20180136407,58.099426,Aviation
ADAPTIVE THRUST VECTOR UNMANNED AERIAL VEHICLE,B64U50/18;G05D1/102;B64C39/024;B64D1/22;B64C15/02;B64C27/20,Unknown,2018-01-12,20180155011,69.137085,Aviation
UNMANNED AERIAL VEHICLE VISUAL POINT CLOUD NAVIGATION,G08G5/0069;G08G5/0039;B64D47/08;G05D1/0094;G08G5/0034;G01C11/02;B64C39/024,Unknown,2018-01-12,20180204469,67.4282,Aviation
POSITIONING METHOD AND DEVICE OF UNMANNED AERIAL VEHICLE,G01S19/45;G01S19/48;G01S19/485;G01C21/005,"BEIJING JINGDONG SHANGKE INFROMATION TECHNOLOGY CO. LTD.,BEIJING JINGDONG CENTURY TRADING CO., LTD.",2018-01-11,20200081136,69.53185,Aviation
"PARACHUTE SYSTEM, SAFETY PROTECTION METHOD AND DEVICE OF UNMANNED AERIAL VEHICLE",B64D17/80;B64C19/02;B64D17/58;B64C39/024;G01C9/005;G01C5/005;B64D17/54;G01P3/64,"BEIJING JINGDONG SHANGKE INFORMATION TECHNOLOGY CO., LTD.,BEIJING JINGDONG CENTURY TRADING CO., LTD.",2018-01-11,20200055608,63.49718,Aviation
Unmanned aerial vehicle protection airbag,B64C27/006;B64U50/19;B64C39/024;B64D1/14,"Amazon Technologies, Inc.",2018-01-10,10099786,68.75726,Aviation
SYSTEM AND METHOD FOR INTERCEPTING UNMANNED AERIAL VEHICLES,F41H13/0006;H04K3/827;B64C39/024;F41H11/02;H04K3/92;H04K3/41;H04K3/43;G05D1/0022;F41H11/04,Unknown,2018-01-09,20190360783,68.21084,Aviation
SYSTEMS AND METHODS FOR AUGMENTING REALITY DURING A SITE SURVEY USING AN UNMANNED AERIAL VEHICLE,G08B25/10;G06F16/245;H04B17/318;B64C39/024;G06T19/006;G06T17/05;G05D1/0038;H04B17/391,Unknown,2018-01-08,20190213865,59.86529,Aviation
SYSTEMS AND METHODS ASSOCIATED WITH UNMANNED AERIAL VEHICLE TARGETING ACCURACY,G01C19/5776;G01C23/00;G01S17/86;G01C21/20;G01D18/00;G01S17/89;G05D1/0094;H04N23/6812;G06T7/77;B64C39/024;G06T7/74;G01S17/06,Unknown,2018-01-03,20190204123,64.00772,Aviation
Unmanned Aerial Vehicle Interactive Apparatus and Method Based on Deep Learning Posture Estimation,G06T5/20;G06V20/13;G06T11/60;G05D1/0094;G06V40/103;G05D1/0033;B64C39/024;G06T7/70;G06F3/0304;G05D1/0016;G06V20/17;G05D1/0088;G06F3/017,Unknown,2018-01-03,20180186452,63.73973,Aviation
Image processing method and device for unmanned aerial vehicle,G06T7/0004;G06T7/20;G06V20/13;B64C39/024;G06V20/17;G06V20/41;G06T7/70,"SHANGHAI HANG SENG ELECTRONIC TECHNOLOGY CO., LTD",2017-12-29,20180211406,66.86769,Aviation
"Headset display device, unmanned aerial vehicle, flight system and method for controlling unmanned aerial vehicle",G06F3/017;G05D1/0016;G06F3/011;G06F3/0304;G05D1/0038;G02B27/017;G06F1/163;H04N13/344;B64C39/024;H04N5/33,"SHANGHAI HANG SENG ELECTRONIC TECHNOLOGY CO., LTD",2017-12-29,20180129200,66.55507,Aviation
USING A CELLULAR INTERFACE FOR UNMANNED AERIAL VEHICLE COMMUNICATIONS,G08G5/0013;H04W76/12;G08G5/006;G08G5/0021;B64C39/024;G08G5/0034;G08G5/0008;G05D1/0022;H04W4/00;H04B7/18504;G08G5/0069;H04W4/029,Telefonaktiebolaget LM Ericsson (publ),2017-12-29,20210206490,66.350945,Aviation
"Visual tracking method and device, unmanned aerial vehicle and terminal device",G06T7/20;G06T7/70;G06T7/246;B64C39/024;G05D1/0094,"SHANGHAI HANG SENG ELECTRONIC TECHNOLOGY, CO., LTD",2017-12-29,20180143637,65.79786,Aviation
"BATTERY MANAGEMENT METHOD, BATTERY, FLIGHT CONTROL SYSTEM AND UNMANNED AERIAL VEHICLE",H02J7/00306;H02J7/00308;H01M10/488;H02J7/0031;H02J7/00304;B64C39/024;H01M10/425;H01M10/4264;G05D1/0088;G05D1/101;H01M50/574;H01M10/482;H02J7/34;H01M10/486,Unknown,2017-12-29,20180145377,63.73973,Aviation
"METHOD, AN UNMANNED AERIAL VEHICLE, A SYSTEM AND A CONTROL CIRCUIT FOR EMERGENCY OPERATION",B64C39/024;B64D47/02;G05D1/101;B64U70/00;G05D1/0676;B64U10/14;B64D45/00,Unknown,2017-12-29,20190041872,61.471016,Aviation
METHOD AND APPARATUS FOR AN UNMANNED AERIAL VEHICLE WITH A 360-DEGREE CAMERA SYSTEM,B64C39/024;B64C25/10;B64C25/52;H04N23/698;H04N7/181;B64D47/08;H04N7/185;B64U20/87,Airmada Technology Inc.,2017-12-28,20180186472,62.70184,Aviation
"Control method, control device and control system for unmanned aerial vehicle",G05D1/0016;G05D1/0038;G02B27/017;B64U10/13;G05D1/0808;G05D1/0044;B64C39/024,"Haoxiang Electric Energy (Kunshan) Co., Ltd.",2017-12-27,20180136642,64.94965,Aviation
Unmanned aerial vehicle,Unknown,"Shenzhen Valuelink E-Commerce Co., Ltd.",2017-12-26,D853279,72.229385,Aviation
METHOD AND ELECTRONIC DEVICE FOR CONTROLLING UNMANNED AERIAL VEHICLE,G05D1/0038;G05D1/0202;B64C39/024,Unknown,2017-12-26,20180181119,67.37294,Aviation
Single-shaft lens device for unmanned aerial vehicles,G03B15/006;H04N23/55;H04N23/57;B64C39/024;B64D47/08;G02B7/023;G03B17/561,"Haoxiang Electric Energy (Kunshan) Co., Ltd.",2017-12-23,20180136431,66.874954,Aviation
Unmanned aerial vehicle ground control station,Unknown,"AUTEL ROBOTICS CO., LTD.",2017-12-22,D829139,67.37813,Aviation
Unmanned aerial vehicle ground control station,Unknown,"AUTEL ROBOTICS CO., LTD.",2017-12-22,D840884,67.37813,Aviation
METHOD FOR CONTROLLING UNMANNED AERIAL VEHICLE AND ELECTRONIC DEVICE FOR CONTROLLING UNMANNED AERIAL VEHICLE,G05D1/0016;G05D1/0038;G06F3/04883;G06F3/04847;H04N7/185,Unknown,2017-12-22,20180181116,66.14377,Aviation
PRE-EMPTIVE GENERATION OF AUTONOMOUS UNMANNED AERIAL VEHICLE INSPECTIONS ACCORDING TO MONITORED SENSOR EVENTS,G08G5/0013;G08G5/0086;G08G5/0026;G08G5/003;B64C39/024;G08G5/0034;G08G5/0069;G06V20/39;G08G5/006,Unknown,2017-12-22,20180190132,60.569347,Aviation
"METHOD PERFORMED IN AN AUTONOMOUS UNMANNED AERIAL VEHICLE FOR ENABLING AUTONOMOUS EMERGENCY ASSISTANCE FOR A COMMUNICATION DEVICE REGISTERED IN A REGULAR CELLULAR NETWORK, VEHICLE AND DEVICE THEREFORE",G06T7/593;H04B7/18504;H04B7/18502;H04W4/021;H04W4/42;H04W4/20;G05D1/101;B64C39/024;G08B27/005;G05D1/0022;H04W4/90;H04W68/02,Unknown,2017-12-22,20200385118,52.801376,Aviation
UNMANNED AERIAL VEHICLE,B64U60/30;B64C39/024;B64C25/08,Unknown,2017-12-21,20180134376,73.48067,Aviation
METHOD AND DEVICE FOR DETERMINING FLIGHT PATH OF UNMANNED AERIAL VEHICLE,B64C39/024;G05D1/0022;G01C21/20;G08G5/0039,"BEIJING XIAOMI MOBILE SOFTWARE CO., LTD.",2017-12-21,20210366295,64.94965,Aviation
Methods and Systems for Door-Enabled Loading and Release of Payloads in an Unmanned Aerial Vehicle (UAV),B64U10/10;B64C39/024;B64U10/14;G06F21/31;B64D1/10,Unknown,2017-12-21,20190193855,63.660683,Aviation
"WATER SURFACE DETECTION METHOD AND APPARATUS, UNMANNED AERIAL VEHICLE LANDING METHOD AND APPARATUS AND UNMANNED AERIAL VEHICLE",B64D45/08;G06T7/13;G06F18/00;G06V20/13;G06V20/17;B64D47/08;B64C39/024;G06T7/529;G06T7/60,Unknown,2017-12-21,20190193852,62.685184,Aviation
SYSTEMS AND METHODS FOR DELIVERING PRODUCTS VIA UNMANNED AERIAL VEHICLES TO DELIVERY LOCATIONS DESIGNATED BY CUSTOMERS,G06Q10/08355;G05D1/0676;B64C39/024;B64D11/0624;G06Q10/0832,Unknown,2017-12-21,20180174102,62.50658,Aviation
UNMANNED AERIAL VEHICLE,B64U50/13;B64U50/19;B64U10/80;B64C1/08;B64D47/08;B64C39/024;B64U10/10;B64C27/006;B64U30/21,Unknown,2017-12-20,20180170533,73.313644,Aviation
MITIGATING NOISE EXPOSURE TO UNMANNED AERIAL VEHICLES,G08G5/0069;G08G5/0095;B64C39/024;G08G5/0039;G08G5/0013;G08G5/0082;G08G5/0034;G05D1/104;G05D1/0202;G08G5/006;G08G5/0026;G01C21/005;G05D1/0005;G05D1/0088,Unknown,2017-12-20,20190189016,68.764206,Aviation
Auxiliary control method and system for unmanned aerial vehicle,G05D1/0011;G08G5/00;B64C39/024;G01C23/00;G01C21/005,"Haoxiang Electric Energy (Kunshan) Co., Ltd.",2017-12-20,20180202831,66.9209,Aviation
ONBOARD CHARGING DEVICE FOR UNMANNED AERIAL VEHICLE AND VEHICLE INCLUDING THE SAME,H02J7/0042;H02J7/0044;B64F1/005;B64F1/22;B60L53/00;B60L53/53;B64F1/007;B64U50/38;H02J50/10;B64C39/024,"Beijing Xiaomi Mobile Software Co., Ltd.",2017-12-20,20180170191,64.8146,Aviation
"TARGET TRACKING METHOD, UNMANNED AERIAL VEHICLE, AND COMPUTER READABLE STORAGE MEDIUM",G06V10/25;G06F18/00;G05D1/12;G05D1/101;G05D1/0094;G06V20/17;G06V20/13;B64C39/024,Unknown,2017-12-20,20190064852,63.05425,Aviation
Methods and Systems for Self-Deployment of Operational Infrastructure by an Unmanned Aerial Vehicle (UAV),G05D1/104;B64C39/024;B60L53/53;H02J7/35;G05D1/102;B60L53/51;B60L53/67;B64U50/37;H02J7/00;B64F1/364,Unknown,2017-12-20,20190185158,62.59773,Aviation
UNMANNED AERIAL VEHICLE,B64C39/024;B64C25/12;B64U60/40;B64C25/24;B64C25/52,Unknown,2017-12-18,20180194458,73.44606,Aviation
"LOAD CONTROL METHOD AND DEVICE BASED ON UNMANNED AERIAL VEHICLE, AND UNMANNED AERIAL VEHICLE",B64C27/32;G01G19/00;B64U10/16;B64C27/473;B64D47/00;G01G19/07;B64C39/024;G05D1/0816,"GOERTEK TECHNOLOGY CO.,LTD.",2017-12-18,20200278700,66.20376,Aviation
PHOTOGRAPHIC ASSEMBLY AND UNMANNED AERIAL VEHICLE HAVING SAME,G03B17/561;B64C27/001;B64D47/08;B64C39/024;G03B15/006;G05D1/0094,Unknown,2017-12-18,20180297716,66.172066,Aviation
